Players,Sentiment Score,Score_with_stats,ast_per_game,stl_per_game,tov_per_game
jayson tatum,0.6491,8.401,5.9,1.1,3.0
jeff green,0.0,1.719,0.5,0.2,0.3
jerami grant,0.9186,4.702,2.1,0.9,1.4
jeremy sochan,0.5499,4.173,2.4,0.8,1.6
jett howard,0.6131,1.441,0.7,0.2,0.5
jimmy butler,0.9298,5.813,5.5,1.2,1.4
jimmy butler,0.9298,5.813,4.8,1.1,1.2
jimmy butler,0.9298,5.813,6.3,1.4,1.7
jimmy butler,0.9298,5.688,5.5,1.2,1.4
jimmy butler,0.9298,5.688,4.8,1.1,1.2
jimmy butler,0.9298,5.688,6.3,1.4,1.7
jimmy butler,0.9298,5.93,5.5,1.2,1.4
jimmy butler,0.9298,5.93,4.8,1.1,1.2
jimmy butler,0.9298,5.93,6.3,1.4,1.7
jock landale,0.0,1.698,0.8,0.3,0.5
joel embiid,0.802,7.232,4.5,0.7,3.3
john collins,0.4577,6.082,2.0,1.0,2.6
john konchar,0.9432,1.383,0.9,0.5,0.4
jonathan isaac,-0.8923,2.219,0.5,0.9,0.4
jonathan kuminga,0.0,4.945,2.2,0.9,1.5
jordan clarkson,0.9062,4.942,3.7,0.8,2.3
jordan hawkins,-0.0243,3.489,1.2,0.5,1.0
jordan miller,-0.0757,1.632,1.0,0.5,0.7
jordan poole,0.9423,6.015,4.5,1.3,3.1
jose alvarado,0.0,3.583,4.6,1.4,1.3
josh green,0.9459,2.937,1.6,1.1,1.0
josh hart,0.7351,5.736,5.8,1.5,2.0
josh okogie,-0.3071,2.409,0.8,1.3,0.8
josh okogie,-0.3071,2.409,0.6,0.8,0.6
josh okogie,-0.3071,2.409,1.3,2.4,1.1
josh okogie,-0.3071,2.171,0.8,1.3,0.8
josh okogie,-0.3071,2.171,0.6,0.8,0.6
josh okogie,-0.3071,2.171,1.3,2.4,1.1
josh okogie,-0.3071,3.096,0.8,1.3,0.8
josh okogie,-0.3071,3.096,0.6,0.8,0.6
josh okogie,-0.3071,3.096,1.3,2.4,1.1
josh richardson,-0.3838,1.759,1.5,1.0,1.0
jrue holiday,0.8854,4.244,3.9,1.1,1.3
julian strawther,-0.5109,3.075,1.3,0.6,0.9
julius randle,0.5859,6.12,4.7,0.7,2.8
