seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
32225.0,2025,4100.0,Jonas Valančiūnas,,C,32.0,13.0,NBA,TOT,74,21.0,19.4,4.3,8.0,0.542,0.1,0.5,0.229,4.2,7.5,0.562,0.549,1.8,2.0,0.874,2.4,5.5,7.9,2.1,0.5,0.6,1.5,2.2,10.5
32226.0,2025,4100.0,Jonas Valančiūnas,,C,32.0,13.0,NBA,WAS,49,12.0,20.1,4.7,8.6,0.547,0.1,0.6,0.259,4.6,8.1,0.567,0.556,1.9,2.2,0.896,2.4,5.8,8.2,2.2,0.4,0.6,1.8,2.0,11.5
32227.0,2025,4100.0,Jonas Valančiūnas,,C,32.0,13.0,NBA,SAC,25,9.0,18.0,3.6,6.7,0.53,0.0,0.3,0.125,3.5,6.4,0.55,0.533,1.5,1.8,0.822,2.3,4.9,7.2,1.9,0.5,0.7,1.0,2.7,8.6
32228.0,2025,4522.0,Jonathan Isaac,,PF,27.0,6.0,NBA,ORL,66,0.0,15.3,1.8,4.5,0.406,0.6,2.2,0.262,1.3,2.3,0.542,0.47,1.0,1.4,0.67,1.6,2.7,4.4,0.5,0.9,1.1,0.4,1.3,5.2
32229.0,2025,4966.0,Jonathan Kuminga,,PF,22.0,4.0,NBA,GSW,41,10.0,25.0,5.7,12.5,0.455,1.0,3.3,0.319,4.6,9.2,0.504,0.497,3.5,5.3,0.665,1.2,3.4,4.6,2.2,0.9,0.5,1.5,1.9,16.0
32230.0,2025,5260.0,Jonathan Mogbo,,PF,23.0,1.0,NBA,TOR,56,13.0,18.9,2.2,5.0,0.442,0.3,1.0,0.286,1.9,4.0,0.482,0.471,1.0,1.3,0.72,1.7,2.8,4.5,1.8,0.8,0.5,0.9,2.1,5.6
32231.0,2025,4265.0,Jordan Clarkson,,SG,32.0,11.0,NBA,UTA,37,9.0,26.0,5.4,13.3,0.408,2.3,6.3,0.362,3.2,7.1,0.448,0.493,3.1,3.9,0.797,0.7,2.5,3.2,3.7,0.8,0.2,2.3,1.4,16.2
32232.0,2025,4967.0,Jordan Goodwin,,PG,26.0,4.0,NBA,LAL,22,5.0,19.4,2.4,5.0,0.468,1.0,2.4,0.404,1.4,2.7,0.525,0.563,0.4,0.5,0.818,1.4,2.2,3.6,1.4,1.0,0.5,0.8,1.6,6.1
32233.0,2025,5162.0,Jordan Hawkins,,SG,22.0,2.0,NBA,NOP,56,9.0,23.6,3.7,9.9,0.372,2.0,5.9,0.331,1.7,4.0,0.433,0.471,1.4,1.8,0.816,0.4,2.4,2.8,1.2,0.5,0.4,1.0,0.9,10.8
32237.0,2025,5163.0,Jordan Miller,,SF,25.0,2.0,NBA,LAC,34,0.0,12.1,1.7,3.9,0.435,0.2,1.1,0.216,1.4,2.8,0.521,0.466,0.8,1.0,0.788,0.7,1.0,1.7,1.0,0.5,0.1,0.7,0.7,4.4
32238.0,2025,4737.0,Jordan Poole,,SG,25.0,6.0,NBA,WAS,65,65.0,29.7,6.7,15.6,0.43,3.5,9.2,0.381,3.2,6.4,0.5,0.542,3.6,4.1,0.883,0.4,2.6,3.0,4.5,1.3,0.4,3.1,3.0,20.5
32240.0,2025,4969.0,Jose Alvarado,,PG,26.0,4.0,NBA,NOP,51,18.0,24.1,3.4,8.7,0.391,1.9,5.3,0.364,1.5,3.4,0.431,0.501,0.9,1.1,0.81,0.5,1.9,2.4,4.6,1.4,0.3,1.3,1.7,9.6
32242.0,2025,4971.0,Josh Giddey,,PG,22.0,4.0,NBA,CHI,66,65.0,29.9,5.2,11.2,0.464,1.5,4.0,0.376,3.7,7.2,0.513,0.531,2.3,3.0,0.776,1.8,6.0,7.8,7.0,1.2,0.6,2.8,1.8,14.2
32243.0,2025,4850.0,Josh Green,,SG,24.0,5.0,NBA,CHO,67,66.0,28.0,2.7,6.2,0.429,1.4,3.7,0.39,1.2,2.6,0.485,0.544,0.7,1.1,0.681,0.8,1.7,2.6,1.6,1.1,0.2,1.0,2.5,7.5
32244.0,2025,4525.0,Josh Hart,,SG,29.0,8.0,NBA,NYK,71,71.0,37.7,5.3,10.0,0.531,1.1,3.3,0.332,4.2,6.7,0.628,0.585,2.1,2.7,0.778,2.1,7.5,9.7,5.8,1.5,0.4,2.0,2.6,13.8
32246.0,2025,4643.0,Josh Okogie,,SG,26.0,7.0,NBA,TOT,34,3.0,15.5,2.4,5.1,0.462,0.7,2.0,0.368,1.6,3.1,0.524,0.535,1.3,1.7,0.746,1.2,1.7,2.9,0.8,1.3,0.4,0.8,1.2,6.7
32247.0,2025,4643.0,Josh Okogie,,SG,26.0,7.0,NBA,PHO,25,1.0,14.0,2.2,4.6,0.491,0.6,1.7,0.381,1.6,2.9,0.556,0.561,0.9,1.3,0.688,1.3,1.6,2.9,0.6,0.8,0.4,0.6,1.1,6.0
