Players,Sentiment Score,tov_per_game
luguentz dort,0.5719,0.7
luke kennard,0.4927,1.2
luke kornet,0.4927,0.4
malachi flynn,0.1513,1.0
malcolm brogdon,0.5096,1.6
malik beasley,0.3818,1.1
malik monk,0.8832,2.5
marcus sasser,0.8558,0.9
marcus smart,0.9275,1.6
marcus smart,0.9275,1.8
marcus smart,0.9275,1.3
marcus smart,0.9275,1.6
marcus smart,0.9275,1.8
marcus smart,0.9275,1.3
marcus smart,0.9275,1.6
marcus smart,0.9275,1.8
marcus smart,0.9275,1.3
mark williams,0.8689,1.4
markieff morris,0.8122,0.1
mason plumlee,0.836,0.8
matisse thybulle,-0.3206,0.6
max strus,0.3195,1.0
maxi kleber,0.6121,0.7
maxwell lewis,0.546,0.4
mikal bridges,0.4939,1.6
mike conley,0.6003,1.1
miles bridges,-0.3818,2.1
mitchell robinson,0.3182,0.6
mo bamba,0.0702,0.6
mo bamba,0.0702,0.7
mo bamba,0.0702,0.3
mo bamba,0.0702,0.6
mo bamba,0.0702,0.7
mo bamba,0.0702,0.3
mo bamba,0.0702,0.6
mo bamba,0.0702,0.7
mo bamba,0.0702,0.3
monte morris,0.967,0.4
moritz wagner,-0.4588,1.6
moses brown,-0.56,1.3
moses moody,0.0,0.7
mouhamed gueye,0.7612,0.4
myles turner,0.7351,1.7
naji marshall,0.8151,1.6
naz reid,-0.1531,1.3
nick richards,-0.5267,1.5
nick richards,-0.5267,1.6
nick richards,-0.5267,1.4
nick richards,-0.5267,1.5
nick richards,-0.5267,1.6
nick richards,-0.5267,1.4
nick richards,-0.5267,1.5
nick richards,-0.5267,1.6
nick richards,-0.5267,1.4
nickeil alexander-walker,0.7579,1.2
nicolas batum,0.6542,0.4
norman powell,0.7269,1.9
og anunoby,-0.1779,1.3
obi toppin,-0.7708,0.8
ochai agbaji,0.9042,0.8
olivier-maxence prosper,0.9263,0.3
onyeka okongwu,-0.3037,1.1
orlando robinson,0.296,1.1
orlando robinson,0.296,1.2
orlando robinson,0.296,1.1
orlando robinson,0.296,1.2
oshae brissett,0.675,1.3
ousmane dieng,-0.6746,0.5
paolo banchero,-0.1255,2.9
pascal siakam,-0.7184,1.4
pat connaughton,0.7924,0.6
patrick williams,0.8905,1.3
paul george,0.8957,2.6
payton pritchard,-0.4118,1.0
peyton watson,0.6689,0.8
precious achiuwa,0.5414,0.8
rj barrett,-0.3937,3.0
reggie jackson,0.9376,0.5
richaun holmes,0.4019,0.7
robert williams,0.0516,0.9
rudy gobert,0.8879,1.3
rui hachimura,-0.296,0.8
russell westbrook,0.9538,3.3
ryan rollins,0.0,0.8
sam hauser,-0.5814,0.3
sam merrill,-0.3403,0.5
scoot henderson,0.5859,2.7
scottie barnes,0.0,2.9
seth curry,0.3192,0.5
shaedon sharpe,0.5267,2.0
shai gilgeous-alexander,0.9201,2.5
shake milton,0.197,0.7
shake milton,0.197,0.7
shake milton,0.197,0.7
shake milton,0.197,0.7
shake milton,0.197,0.7
shake milton,0.197,0.7
shake milton,0.197,0.7
shake milton,0.197,0.7
shake milton,0.197,0.7
spencer dinwiddie,0.8047,1.2
stephen curry,0.9753,2.9
steven adams,0.9747,1.0
taj gibson,0.7501,0.7
talen horton-tucker,0.7003,0.7
tari eason,0.3612,1.2
taurean prince,0.9573,1.0
taylor hendricks,0.9731,0.7
terance mann,0.9442,0.7
terance mann,0.9442,0.7
terance mann,0.9442,0.8
terance mann,0.9442,0.7
terance mann,0.9442,0.7
terance mann,0.9442,0.8
terance mann,0.9442,0.7
terance mann,0.9442,0.7
terance mann,0.9442,0.8
terry rozier,-0.1027,1.2
thomas bryant,0.8573,0.5
thomas bryant,0.8573,0.2
thomas bryant,0.8573,0.5
thomas bryant,0.8573,0.5
thomas bryant,0.8573,0.2
thomas bryant,0.8573,0.5
thomas bryant,0.8573,0.5
thomas bryant,0.8573,0.2
thomas bryant,0.8573,0.5
tim hardaway jr.,0.9393,0.6
tobias harris,0.6724,1.1
torrey craig,0.8442,0.1
torrey craig,0.8442,0.0
torrey craig,0.8442,0.1
torrey craig,0.8442,0.0
toumani camara,-0.4144,1.4
trae young,0.936,4.8
trayce jackson-davis,0.9438,0.7
tre jones,0.714,0.8
tre jones,0.714,0.8
tre jones,0.714,0.8
tre jones,0.714,0.8
tre jones,0.714,0.8
tre jones,0.714,0.8
tre jones,0.714,0.8
tre jones,0.714,0.8
tre jones,0.714,0.8
trevelin queen,0.0,0.8
trey lyles,-0.2933,0.5
ty jerome,0.4404,1.3
tyler herro,0.5346,2.6
tyrese haliburton,0.9323,1.7
tyrese martin,0.802,1.1
tyrese maxey,0.5578,2.4
tyus jones,0.8555,1.2
victor wembanyama,0.9062,3.2
vit krejci,0.8898,0.9
walker kessler,0.8945,1.5
zach collins,-0.8201,0.9
zach collins,-0.8201,0.6
zach collins,-0.8201,1.3
zach collins,-0.8201,0.9
zach collins,-0.8201,0.6
zach collins,-0.8201,1.3
zach collins,-0.8201,0.9
zach collins,-0.8201,0.6
zach collins,-0.8201,1.3
zach lavine,-0.1753,2.9
zach lavine,-0.1753,2.9
zach lavine,-0.1753,3.0
zach lavine,-0.1753,2.9
zach lavine,-0.1753,2.9
zach lavine,-0.1753,3.0
zach lavine,-0.1753,2.9
zach lavine,-0.1753,2.9
zach lavine,-0.1753,3.0
zeke nnaji,0.0387,0.2
zion williamson,-0.5935,3.0
